,Main Category ID,Sub Category ID,Main Category,Sub Category
0,TEC,PH,Technology,Phones
1,OFF,BI,Office Supplies,Binders
2,OFF,BI,Office Supplies,Binders
3,OFF,PA,Office Supplies,Paper
4,OFF,ST,Office Supplies,Storage
5,OFF,SU,Office Supplies,Supplies
6,FUR,CH,Furniture,Chairs
7,OFF,PA,Office Supplies,Paper
8,TEC,AC,Technology,Accessories
9,FUR,TA,Furniture,Tables
10,OFF,AR,Office Supplies,Art
11,OFF,SU,Office Supplies,Supplies
12,TEC,AC,Technology,Accessories
13,OFF,AR,Office Supplies,Art
14,TEC,PH,Technology,Phones
15,FUR,FU,Furniture,Furnishings
16,OFF,BI,Office Supplies,Binders
17,FUR,CH,Furniture,Chairs
18,OFF,BI,Office Supplies,Binders
19,OFF,AR,Office Supplies,Art
20,FUR,TA,Furniture,Tables
21,OFF,PA,Office Supplies,Paper
22,OFF,BI,Office Supplies,Binders
23,FUR,FU,Furniture,Furnishings
24,OFF,BI,Office Supplies,Binders
25,TEC,AC,Technology,Accessories
26,OFF,BI,Office Supplies,Binders
27,FUR,CH,Furniture,Chairs
28,FUR,TA,Furniture,Tables
29,OFF,SU,Office Supplies,Supplies
30,OFF,BI,Office Supplies,Binders
31,OFF,ST,Office Supplies,Storage
32,OFF,PA,Office Supplies,Paper
33,OFF,PA,Office Supplies,Paper
34,OFF,LA,Office Supplies,Labels
35,FUR,FU,Furniture,Furnishings
36,OFF,BI,Office Supplies,Binders
37,OFF,AR,Office Supplies,Art
38,OFF,BI,Office Supplies,Binders
39,FUR,FU,Furniture,Furnishings
40,OFF,AR,Office Supplies,Art
41,FUR,TA,Furniture,Tables
42,OFF,PA,Office Supplies,Paper
43,OFF,ST,Office Supplies,Storage
44,OFF,FA,Office Supplies,Fasteners
45,OFF,SU,Office Supplies,Supplies
46,FUR,FU,Furniture,Furnishings
47,FUR,FU,Furniture,Furnishings
48,OFF,AP,Office Supplies,Appliances
49,FUR,BO,Furniture,Bookcases
50,TEC,PH,Technology,Phones
51,TEC,AC,Technology,Accessories
52,OFF,ST,Office Supplies,Storage
53,OFF,PA,Office Supplies,Paper
54,OFF,PA,Office Supplies,Paper
55,OFF,PA,Office Supplies,Paper
56,OFF,BI,Office Supplies,Binders
57,OFF,PA,Office Supplies,Paper
58,OFF,PA,Office Supplies,Paper
59,FUR,CH,Furniture,Chairs
60,OFF,PA,Office Supplies,Paper
61,OFF,ST,Office Supplies,Storage
62,FUR,TA,Furniture,Tables
63,OFF,PA,Office Supplies,Paper
64,TEC,AC,Technology,Accessories
65,FUR,CH,Furniture,Chairs
66,OFF,LA,Office Supplies,Labels
67,OFF,FA,Office Supplies,Fasteners
68,OFF,BI,Office Supplies,Binders
69,FUR,CH,Furniture,Chairs
70,TEC,AC,Technology,Accessories
71,OFF,ST,Office Supplies,Storage
72,FUR,TA,Furniture,Tables
73,OFF,AP,Office Supplies,Appliances
74,OFF,PA,Office Supplies,Paper
75,TEC,MA,Technology,Machines
76,OFF,LA,Office Supplies,Labels
77,OFF,PA,Office Supplies,Paper
78,OFF,AP,Office Supplies,Appliances
79,OFF,ST,Office Supplies,Storage
80,OFF,LA,Office Supplies,Labels
81,OFF,AP,Office Supplies,Appliances
82,OFF,PA,Office Supplies,Paper
83,TEC,AC,Technology,Accessories
84,TEC,PH,Technology,Phones
85,FUR,FU,Furniture,Furnishings
86,TEC,AC,Technology,Accessories
87,OFF,AR,Office Supplies,Art
88,OFF,PA,Office Supplies,Paper
89,OFF,LA,Office Supplies,Labels
90,OFF,ST,Office Supplies,Storage
91,TEC,AC,Technology,Accessories
